1 Pick-up, kombi ciała
2 Awangarda, kombi ciała
3 Sedan, Coupe
4 Touring Coupe
5 Sedan, Coupe
6 Coupe, Coupe
7 Limuzyna, Coupe
8 Minibus, zamknięte ciało
9 Minivan, zamknięte nadwozie
10 Kombi Coupe
11 Liftbek, zamknięte nadwozie
12 Fastback, zamknięte nadwozie

20 Cabrio, otwarta łóżko
21 Rodster, ciało podwójna
22 Phaeton, otwarte nadwozie
23 Lando, otwarte nadwozie
24 Brougham, otwarte nadwozie
25 Targa otwarte nadwozie
26 Pająk, otwarte nadwozie

1 Пикап, грузопассажирский кузов
2 Фургон, грузопассажирский кузов
3 Седан, закрытый кузов
4 Универсал, закрытый кузов
5 Хетчбэк, закрытый кузов
6 Купе, закрытый кузов
7 Лимузин, закрытый кузов
8 Микроавтобус, закрытый кузов
9 Минивэн, закрытый кузов
10 Комби, закрытый кузов
11Лифтбэк, закрытый кузов
12 Фастбэк, закрытый кузов

20 Кабриолет, открытый кузов
21 Родстер, двухместный кузов
22 Фаэтон, открытый кузов
23 Ландо, открытый кузов
24 Брогам, открытый кузов
25 Тарга, открытый кузов
26 Спайдер, открытый кузов

1 Пікап, вантажопасажирський кузов
2 Фургон, вантажопасажирський кузов
3 Седан, закритий кузов
4 Універсал, закритий кузов
5 Хетчбек, закритий кузов
6 Купе, закритий кузов
7 Лімузин, закритий кузов
8 Мікроавтобус, закритий кузов
9 Мінівен, закритий кузов
10 Комбі, закритий кузов
11Ліфтбек, закритий кузов
12 фастбека, закритий кузов

20 Кабріолет, відкритий кузов
21 Родстер, двомісний кузов
22 Фаетон, відкритий кузов
23 Ландо, відкритий кузов
24 броги, відкритий кузов
25 Тарга, відкритий кузов
26 Спайдер, відкритий кузов

